text;image;date
Zum #Valentinstag: Geheime Liebesnachricht im Anzeigenteil der 'Neuesten Nachrichten aus dem Gebiete der Politik' (München) vom 17. November 1850. Gefunden von Nina C. Rastinger in Digipress: https://digipress.digitale-sammlungen.de/view/bsb10541578_01293_u001?page=8 #zeitfürzeitungen #digipress;liebesnachricht_neueste_nachrichten_17.11.1850.jpg;2025-02-14
In Bielefeld wurde schon immer viel getanzt. Fund von Johanna Störiko anlässlich der #dhd2025 Party im Bielefelder Generalanzeiger vom 02.03.1901. Digitalisat über das deutsche Zeitungsportal: https://www.deutsche-digitale-bibliothek.de/newspaper/item/IQRGMNTNHXN5LW764TTU5EFQHQO4A4UX?issuepage=4 #zeitfuerzeitungen;jstoe_tanzeninbielefeld_1901.png;2025-03-06
